# Constructed from biom file
OTUID	Mock.ShadeLab	Mock.Zymo	Muc.NC1	RTSF.NC
d46e2205f0c6ecf67b51f83d111c509c	44287.0	33468.0	0.0	0.0
4cbfff144d4e7a4e0f4619ed505be070	13467.0	35446.0	0.0	0.0
9b6ed1d4f601b4bdb5e89ba85c4a46bb	42545.0	7.0	0.0	0.0
ff9d93d7b7e46787568f2d241caeaf3b	6456.0	25815.0	0.0	0.0
a4cbe987942964b584e95e4efab6a176	11986.0	16442.0	0.0	0.0
581a55014641e1cd55cdc272c0365a28	0.0	27061.0	0.0	0.0
9908fffab7ed4f3bec44cda2f5084d49	0.0	26118.0	0.0	0.0
7ea4b157e51f38c83a0693ce6ea70f53	23266.0	9.0	0.0	0.0
65d43491988bfe557da4d86a5ba25dae	1886.0	18308.0	0.0	0.0
3e86e9620a4aceb493a34d5c47723513	0.0	10254.0	0.0	0.0
8ae518dbb29595b3f79214be0b589066	0.0	9474.0	0.0	0.0
78105a4af72279c4af026281229c4c48	1761.0	0.0	0.0	0.0
a2ebccc500dd41cc3a5769052a80970a	278.0	1057.0	0.0	0.0
b76a0e2621e99fb6bcfe8891670876a4	428.0	672.0	0.0	0.0
2aa3100e41949b3367aebdc3625815b6	0.0	1061.0	0.0	0.0
077fceb3cc95b71aab3a879b501c4a25	0.0	1030.0	0.0	0.0
9021e95f187a695817498a073e4e7c35	884.0	0.0	0.0	0.0
49349388ca31359cf8792e83117eec34	66.0	731.0	0.0	0.0
7911816f5e81f650f769aba0d5c708cb	48.0	77.0	101.0	0.0
46823269defbaa449e1b93fc07da5bb5	160.0	36.0	0.0	0.0
c0d5395792eadbf5f62e8ffb14fa0262	38.0	54.0	40.0	0.0
cc3cdd2ff9769ffe23e1c9cb097e0af8	22.0	59.0	32.0	0.0
bdf8a26094624622d68509a87fa75ba7	0.0	82.0	0.0	0.0
5e4e798645633c4464846f376b59e786	0.0	0.0	0.0	50.0
5673ae66819e3bdbbc09461e4959159e	0.0	26.0	22.0	0.0
fd98346394a5c79e554003012cb33826	3.0	0.0	0.0	19.0
fabe6b7e87dab78a684061eea8189e24	0.0	10.0	0.0	0.0
9ca074f8d919e1dbc8e64ad4c08aad96	9.0	0.0	0.0	0.0
0920dcf0f62fb2b3ab9e32f1c4edec37	8.0	0.0	0.0	0.0
8ce12e88f6b59bb09494567f0d678092	0.0	0.0	6.0	0.0
585ab3a74a20009cf992a406b849ec72	0.0	5.0	0.0	0.0
48619b099e90e96ad00e9c7b723ac170	0.0	5.0	0.0	0.0
1f758cce9093f73f521e0f56c78e767f	4.0	0.0	0.0	0.0
